candidate,param_kind,log_loss,brier,top1_acc,top2_acc,ece,log_loss_ci_low,log_loss_ci_high,ece_ci_low,ece_ci_high,param_beta,param_threshold,param_scale,param_shift
gate_threshold_0.95,gate,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.018886987428040573,2.2292492491316738,2.2856484736974125,0.011503991641682266,0.03312367640853222,,0.9500000000000001,,
gate_threshold_1.00,gate,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.018886987428040573,2.2292492491316738,2.2856484736974125,0.011503991641682266,0.03312367640853222,,1.0,,
log_beta_1.00,log,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.018886987428040573,2.229249249131674,2.2856484736974125,0.011503991641682266,0.03312367640853222,1.0,,,
gate_threshold_0.80,gate,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.018886987428040573,2.2292492491316738,2.2856484736974125,0.011503991641682266,0.03312367640853222,,0.8,,
linear_beta_1.00,linear,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.018886987428040573,2.2292492491316738,2.2856484736974125,0.011503991641682266,0.03312367640853222,1.0,,,
gate_threshold_0.85,gate,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.018886987428040573,2.2292492491316738,2.2856484736974125,0.011503991641682266,0.03312367640853222,,0.8500000000000001,,
gate_threshold_0.55,gate,2.2549631887526895,0.8748699572588682,0.19918478260869565,0.36929347826086956,0.0189798645515964,2.2292861303468454,2.2857537200919276,0.011561083747764007,0.03298546349507392,,0.55,,
gate_threshold_0.40,gate,2.255150902055853,0.8748927472002096,0.19891304347826086,0.3701086956521739,0.016524500860171557,2.229384963251301,2.2840606737906244,0.007888809230526834,0.031530413113428996,,0.4,,
density_scale_10.0_shift_+0.50,density,2.2553107192402995,0.8746772236845586,0.20054347826086957,0.38125,0.021040261962368273,2.228511572346056,2.2861918937620627,0.012619673464348533,0.03869476438600848,,,10.0,0.5
gate_threshold_0.35,gate,2.25563610489842,0.8750904625602562,0.19782608695652174,0.3701086956521739,0.016480816989441822,2.2306903074733277,2.2855341108946945,0.007448120344759395,0.03238678401149932,,0.35000000000000003,,
linear_beta_0.40,linear,2.2567890063361298,0.8746059516776394,0.20543478260869566,0.3815217391304348,0.022592192892864724,2.2293198088292243,2.2878942331117265,0.010661424031026219,0.03805838656408787,0.4,,,
log_beta_0.60,log,2.2570719330885676,0.8735907061131247,0.20733695652173914,0.3769021739130435,0.015440708168349209,2.2286789588224716,2.291752224024606,0.00721332110241329,0.031426388586816845,0.6000000000000001,,,
gate_threshold_0.30,gate,2.259706095435741,0.8759216667288993,0.19701086956521738,0.37092391304347827,0.014827505252774213,2.234874128860683,2.291272778566882,0.005739540782652996,0.028969550492508905,,0.30000000000000004,,
log_beta_0.50,log,2.261516648287021,0.8739890895298411,0.20733695652173914,0.3798913043478261,0.01876161582264524,2.2319418960103556,2.2968091235819474,0.008150447515042554,0.03367560358561201,0.5,,,
linear_beta_0.30,linear,2.262069121703985,0.8755334950447058,0.20570652173913043,0.38233695652173916,0.02500482768271541,2.2333491403834573,2.29287428302579,0.012208267232846919,0.03946783829918538,0.30000000000000004,,,
gate_threshold_0.25,gate,2.2632629018042163,0.8766246405793156,0.19402173913043477,0.3684782608695652,0.015192652121222585,2.2385220072965053,2.2940473384917035,0.004847845789914607,0.03067681127250965,,0.25,,
